,County,City,year,U Total,U Occupied,Pop Total
133,Alameda,San Leandro,2013,32495.0,30951.0,87518.0
134,Alameda,San Leandro,2014,32503.0,30884.0,88218.0
135,Alameda,San Leandro,2015,32509.0,30854.0,89143.0
136,Alameda,San Leandro,2016,32510.0,30941.0,89605.0
137,Alameda,San Leandro,2017,32510.0,30759.0,89630.0
138,Alameda,San Leandro,2018,32516.0,30766.0,89552.0
139,Alameda,San Leandro,2019,32606.0,30851.0,89825.0
140,Alameda,Unincorporated,2010,51022.0,48516.0,141266.0
141,Alameda,Unincorporated,2011,51025.0,48522.0,142498.0
142,Alameda,Unincorporated,2012,51035.0,48539.0,143779.0
143,Alameda,Unincorporated,2013,51045.0,48568.0,144563.0
144,Alameda,Unincorporated,2014,51041.0,48551.0,145967.0
145,Alameda,Unincorporated,2015,51051.0,48554.0,147633.0
146,Alameda,Unincorporated,2016,51059.0,48577.0,148051.0
147,Alameda,Unincorporated,2017,51164.0,48644.0,149151.0
148,Alameda,Unincorporated,2018,51270.0,48734.0,149258.0
149,Alameda,Unincorporated,2019,51350.0,48810.0,149536.0
150,Alameda,Union City,2010,21258.0,20433.0,69516.0
151,Alameda,Union City,2011,21265.0,20437.0,70135.0
152,Alameda,Union City,2012,21370.0,20532.0,71074.0
153,Alameda,Union City,2013,21431.0,20575.0,71575.0
154,Alameda,Union City,2014,21431.0,20586.0,72341.0
155,Alameda,Union City,2015,21435.0,20595.0,73203.0
156,Alameda,Union City,2016,21464.0,20610.0,73430.0
157,Alameda,Union City,2017,21499.0,20671.0,74100.0
158,Alameda,Union City,2018,21501.0,20682.0,74058.0
159,Alameda,Union City,2019,21745.0,20917.0,74916.0
160,Contra Costa,Antioch,2010,34849.0,32252.0,102372.0
161,Contra Costa,Antioch,2011,34948.0,32413.0,103714.0
162,Contra Costa,Antioch,2012,35041.0,32650.0,105094.0
163,Contra Costa,Antioch,2013,35278.0,33278.0,107476.0
164,Contra Costa,Antioch,2014,35482.0,33178.0,108282.0
165,Contra Costa,Antioch,2015,35750.0,33286.0,109642.0
166,Contra Costa,Antioch,2016,35822.0,33694.0,111382.0
167,Contra Costa,Antioch,2017,35860.0,33730.0,112674.0
168,Contra Costa,Antioch,2018,35882.0,33750.0,113266.0
169,Contra Costa,Antioch,2019,36015.0,33875.0,113901.0
170,Contra Costa,Brentwood,2010,17523.0,16494.0,51481.0
171,Contra Costa,Brentwood,2011,17642.0,16627.0,52317.0
172,Contra Costa,Brentwood,2012,17740.0,16765.0,53068.0
173,Contra Costa,Brentwood,2013,17877.0,17019.0,54057.0
174,Contra Costa,Brentwood,2014,18242.0,17276.0,55450.0
175,Contra Costa,Brentwood,2015,18663.0,17630.0,57111.0
176,Contra Costa,Brentwood,2016,19116.0,18167.0,59063.0
177,Contra Costa,Brentwood,2017,19655.0,18440.0,60583.0
178,Contra Costa,Brentwood,2018,20154.0,18827.0,62140.0
179,Contra Costa,Brentwood,2019,20609.0,19252.0,63662.0
180,Contra Costa,Clayton,2010,4086.0,4006.0,10897.0
181,Contra Costa,Clayton,2011,4087.0,4005.0,10984.0
182,Contra Costa,Clayton,2012,4087.0,4001.0,11040.0
183,Contra Costa,Clayton,2013,4100.0,4004.0,11088.0
184,Contra Costa,Clayton,2014,4111.0,4022.0,11255.0
185,Contra Costa,Clayton,2015,4111.0,4025.0,11369.0
186,Contra Costa,Clayton,2016,4111.0,4017.0,11389.0
187,Contra Costa,Clayton,2017,4111.0,4034.0,11558.0
188,Contra Costa,Clayton,2018,4112.0,4041.0,11631.0
189,Contra Costa,Clayton,2019,4112.0,4041.0,11653.0
190,Contra Costa,Concord,2010,47125.0,44278.0,122067.0
191,Contra Costa,Concord,2011,47150.0,44349.0,123252.0
192,Contra Costa,Concord,2012,47153.0,44456.0,124285.0
193,Contra Costa,Concord,2013,47154.0,44712.0,125406.0
194,Contra Costa,Concord,2014,47155.0,44503.0,126149.0
195,Contra Costa,Concord,2015,47170.0,44353.0,127182.0
196,Contra Costa,Concord,2016,47207.0,44890.0,129171.0
197,Contra Costa,Concord,2017,47262.0,44452.0,129288.0
198,Contra Costa,Concord,2018,47290.0,44315.0,129493.0
199,Contra Costa,Concord,2019,47345.0,44367.0,129889.0
200,Contra Costa,Danville,2010,15934.0,15420.0,42039.0
201,Contra Costa,Danville,2011,15940.0,15409.0,42351.0
202,Contra Costa,Danville,2012,15950.0,15383.0,42532.0
203,Contra Costa,Danville,2013,15962.0,15394.0,42710.0
204,Contra Costa,Danville,2014,16010.0,15509.0,43480.0
205,Contra Costa,Danville,2015,16075.0,15605.0,44156.0
206,Contra Costa,Danville,2016,16158.0,15605.0,44318.0
207,Contra Costa,Danville,2017,16171.0,15618.0,44823.0
208,Contra Costa,Danville,2018,16196.0,15642.0,45103.0
209,Contra Costa,Danville,2019,16225.0,15670.0,45270.0
210,Contra Costa,El Cerrito,2010,10716.0,10142.0,23549.0
211,Contra Costa,El Cerrito,2011,10720.0,10146.0,23751.0
212,Contra Costa,El Cerrito,2012,10724.0,10151.0,23906.0
213,Contra Costa,El Cerrito,2013,10725.0,10155.0,23999.0
214,Contra Costa,El Cerrito,2014,10730.0,10157.0,24257.0
215,Contra Costa,El Cerrito,2015,10731.0,10157.0,24482.0
216,Contra Costa,El Cerrito,2016,10789.0,10215.0,24711.0
217,Contra Costa,El Cerrito,2017,10795.0,10215.0,24971.0
218,Contra Costa,El Cerrito,2018,10842.0,10257.0,25192.0
219,Contra Costa,El Cerrito,2019,10936.0,10346.0,25459.0
220,Contra Costa,Hercules,2010,8553.0,8115.0,24060.0
221,Contra Costa,Hercules,2011,8553.0,8121.0,24273.0
222,Contra Costa,Hercules,2012,8553.0,8134.0,24457.0
223,Contra Costa,Hercules,2013,8551.0,8166.0,24640.0
224,Contra Costa,Hercules,2014,8551.0,8142.0,24826.0
225,Contra Costa,Hercules,2015,8551.0,8130.0,25021.0
226,Contra Costa,Hercules,2016,8585.0,8191.0,25299.0
227,Contra Costa,Hercules,2017,8739.0,8277.0,25833.0
228,Contra Costa,Hercules,2018,8764.0,8280.0,25964.0
229,Contra Costa,Hercules,2019,8835.0,8347.0,26224.0
230,Contra Costa,Incorporated,2010,337862.0,317658.0,889240.0
231,Contra Costa,Incorporated,2011,338694.0,318707.0,899704.0
232,Contra Costa,Incorporated,2012,339830.0,320197.0,909453.0
233,Contra Costa,Incorporated,2013,341072.0,323114.0,921354.0
234,Contra Costa,Incorporated,2014,342339.0,323466.0,932077.0
235,Contra Costa,Incorporated,2015,344025.0,324454.0,944275.0
236,Contra Costa,Incorporated,2016,345894.0,327788.0,957201.0
237,Contra Costa,Incorporated,2017,348078.0,327691.0,967279.0
238,Contra Costa,Incorporated,2018,349948.0,328746.0,975413.0
239,Contra Costa,Incorporated,2019,351858.0,330535.0,982473.0
240,Contra Costa,Lafayette,2010,9651.0,9223.0,23893.0
241,Contra Costa,Lafayette,2011,9667.0,9229.0,24102.0
242,Contra Costa,Lafayette,2012,9674.0,9215.0,24210.0
243,Contra Costa,Lafayette,2013,9681.0,9221.0,24311.0
244,Contra Costa,Lafayette,2014,9752.0,9329.0,24854.0
245,Contra Costa,Lafayette,2015,9866.0,9458.0,25431.0
246,Contra Costa,Lafayette,2016,9901.0,9444.0,25486.0
247,Contra Costa,Lafayette,2017,9932.0,9474.0,25835.0
248,Contra Costa,Lafayette,2018,9943.0,9518.0,26077.0
249,Contra Costa,Lafayette,2019,10019.0,9591.0,26327.0
250,Contra Costa,Martinez,2010,14976.0,14287.0,35824.0
251,Contra Costa,Martinez,2011,14977.0,14292.0,36214.0
252,Contra Costa,Martinez,2012,14982.0,14306.0,36445.0
253,Contra Costa,Martinez,2013,15069.0,14414.0,36784.0
254,Contra Costa,Martinez,2014,15072.0,14399.0,37134.0
255,Contra Costa,Martinez,2015,15151.0,14466.0,37685.0
256,Contra Costa,Martinez,2016,15199.0,14532.0,37840.0
257,Contra Costa,Martinez,2017,15243.0,14530.0,38233.0
258,Contra Costa,Martinez,2018,15245.0,14517.0,38406.0
259,Contra Costa,Martinez,2019,15250.0,14522.0,38490.0
260,Contra Costa,Moraga,2010,5754.0,5570.0,16016.0
261,Contra Costa,Moraga,2011,5756.0,5577.0,16151.0
262,Contra Costa,Moraga,2012,5758.0,5590.0,16271.0
263,Contra Costa,Moraga,2013,5760.0,5621.0,16403.0
264,Contra Costa,Moraga,2014,5763.0,5603.0,16512.0
265,Contra Costa,Moraga,2015,5763.0,5593.0,16624.0
266,Contra Costa,Moraga,2016,5765.0,5619.0,16748.0
267,Contra Costa,Moraga,2017,5770.0,5573.0,16783.0
268,Contra Costa,Moraga,2018,5800.0,5585.0,16886.0
269,Contra Costa,Moraga,2019,5809.0,5594.0,16939.0
270,Contra Costa,Oakley,2010,11484.0,10727.0,35432.0
271,Contra Costa,Oakley,2011,11623.0,10879.0,36226.0
272,Contra Costa,Oakley,2012,11738.0,11035.0,36966.0
273,Contra Costa,Oakley,2013,11903.0,11323.0,38060.0
274,Contra Costa,Oakley,2014,12082.0,11397.0,38712.0
275,Contra Costa,Oakley,2015,12206.0,11467.0,39312.0
276,Contra Costa,Oakley,2016,12294.0,11663.0,40127.0
277,Contra Costa,Oakley,2017,12491.0,11606.0,40355.0
278,Contra Costa,Oakley,2018,12705.0,11722.0,40949.0
279,Contra Costa,Oakley,2019,12932.0,11931.0,41759.0
280,Contra Costa,Orinda,2010,6804.0,6553.0,17643.0
281,Contra Costa,Orinda,2011,6805.0,6554.0,17790.0
282,Contra Costa,Orinda,2012,6812.0,6561.0,17916.0
283,Contra Costa,Orinda,2013,6814.0,6564.0,17986.0
284,Contra Costa,Orinda,2014,6829.0,6578.0,18214.0
285,Contra Costa,Orinda,2015,6970.0,6714.0,18762.0
286,Contra Costa,Orinda,2016,6999.0,6743.0,18911.0
287,Contra Costa,Orinda,2017,7018.0,6760.0,19158.0
288,Contra Costa,Orinda,2018,7049.0,6789.0,19331.0
